Date;Open;High;Low;Close;Adj Close;Volume;Rendimento;Rend %
02/01/20;93750000;94900497;93207497;94900497;94900497;80580000;0.0;0.0
03/01/20;93224998;94309998;93224998;93748497;93748497;75288000;-0,01214;-1,21390
06/01/20;93000000;95184502;93000000;95143997;95143997;81236000;0,01489;1,48856
07/01/20;95224998;95694504;94601997;95343002;95343002;80898000;0,00209;0,20916
08/01/20;94902000;95550003;94321999;94598503;94598503;70160000;-0,00781;-0,78086
09/01/20;95494499;95890999;94790001;95052498;95052498;63346000;0,00480;0,47992
10/01/20;95268501;95347000;94000000;94157997;94157997;57074000;-0,00941;-0,94106
13/01/20;94565498;94900002;94040001;94565002;94565002;55616000;0,00432;0,43226
14/01/20;94293999;94355499;92927498;93472000;93472000;68818000;-0,01156;-1,15582
15/01/20;93612503;93943001;92754501;93100998;93100998;57932000;-0,00397;-0,39691
16/01/20;94149498;94279503;93301003;93897003;93897003;53190000;0,00855;0,85499
17/01/20;94294502;94332001;92862503;93236000;93236000;79946000;-0,00704;-0,70397
21/01/20;93250000;94713501;93000000;94599998;94599998;74156000;0,01463;1,46295
22/01/20;94804497;95125000;94167000;94373001;94373001;64326000;-0,00240;-0,23995
23/01/20;94255501;94499001;93638000;94228996;94228996;49692000;-0,00153;-0,15259
24/01/20;94568497;94749496;92372002;93082001;93082001;75324000;-0,01217;-1,21724
27/01/20;91000000;92050003;90766998;91417000;91417000;70570000;-0,01789;-1,78875
28/01/20;92025002;92905502;91500999;92662498;92662498;56160000;0,01362;1,36244
29/01/20;93199997;93737503;92750999;92900002;92900002;41760000;0,00256;0,25631
30/01/20;92900002;93643501;92530502;93533997;93533997;126548000;0,00682;0,68245
31/01/20;102573502;102786003;100113503;100435997;100435997;311346000;0,07379;7,37914
03/02/20;100529999;102425003;100012497;100209999;100209999;117834000;-0,00225;-0,22502
04/02/20;101494003;102989998;100768501;102483498;102483498;105786000;0,02269;2,26873
05/02/20;103551003;103551003;101599998;101993500;101993500;87524000;-0,00478;-0,47812
06/02/20;102051003;102815002;101239998;102511497;102511497;63660000;0,00508;0,50787
07/02/20;102099503;104926498;101904999;103963997;103963997;101906000;0,01417;1,41691
10/02/20;104250504;106779999;104248001;106695503;106695503;101124000;0,02627;2,62736
11/02/20;107544998;109297501;106800003;107540001;107540001;114920000;0,00792;0,79150
12/02/20;108160004;109012497;107764503;108000000;108000000;66686000;0,00428;0,42775
13/02/20;107249496;108514000;107099998;107493500;107493500;60636000;-0,00469;-0,46898
14/02/20;107783997;107952003;106294502;106743500;106743500;52124000;-0,00698;-0,69772
18/02/20;106250999;108303497;106205498;107783501;107783501;58912000;0,00974;0,97430
19/02/20;108389999;109254997;108056000;108511002;108511002;51224000;0,00675;0,67497
20/02/20;108653503;108839500;106372498;107654999;107654999;62626000;-0,00789;-0,78886
21/02/20;107107498;107227501;104400002;104798500;104798500;92926000;-0,02653;-2,65338
24/02/20;100158997;101964996;99398499;100464500;100464500;130940000;-0,04136;-4,13556
25/02/20;101320999;101730003;97920998;98637001;98637001;124382000;-0,01819;-1,81905
26/02/20;98514000;100733498;98022499;98979500;98979500;104492000;0,00347;0,34723
27/02/20;96719002;98750000;94138000;94214996;94214996;162880000;-0,04814;-4,81363
28/02/20;90731499;94487999;90556503;94187500;94187500;189620000;-0,00029;-0,02918
02/03/20;95324501;97725502;93500000;97697502;97697502;135234000;0,03727;3,72661
03/03/20;98768501;99816498;94404503;95449501;95449501;150690000;-0,02301;-2,30098
04/03/20;97328499;98900002;96099998;98791496;98791496;95458000;0,03501;3,50132
05/03/20;96650002;98036003;95500000;96201500;96201500;94964000;-0,02622;-2,62168
06/03/20;93750000;95543503;93474998;95054497;95054497;105472000;-0,01192;-1,19229
09/03/20;88693001;93138496;88064499;90030502;90030502;156264000;-0,05285;-5,28538
10/03/20;93543999;94713501;90908501;94591003;94591003;142666000;0,05066;5,06551
11/03/20;92892502;93566002;90074997;91042999;91042999;112496000;-0,03751;-3,75089
12/03/20;86098999;88250000;83750000;83830498;83830498;226924000;-0,07922;-7,92208
13/03/20;87750000;89315498;84030998;89250000;89250000;176194000;0,06465;6,46483
16/03/20;82075500;87972504;81301498;84457497;84457497;178346000;-0,05370;-5,36975
17/03/20;88773499;92889000;84461998;90391998;90391998;218342000;0,07027;7,02661
18/03/20;87500000;92083000;87250000;91500000;91500000;192904000;0,01226;1,22577
