Date;Open;High;Low;Close;Adj Close;Volume;Rendimento;Rend %
02/01/20;124660004;126269997;124230003;125849998;119796928;2708000;0.0;0.0
03/01/20;124320000;125099998;123940002;124599998;118607040;2090600;-0,00993;-0,99325
06/01/20;123370003;124160004;123120003;124059998;118093010;2855200;-0,00433;-0,43339
07/01/20;123470001;124400002;123360001;123410004;117474289;2042300;-0,00524;-0,52394
08/01/20;124050003;126360001;123800003;125540001;119501816;3458200;0,01726;1,72595
09/01/20;126489998;127879997;126389999;127809998;121662636;2787100;0,01808;1,80819
10/01/20;127580002;128169998;126919998;127279999;121158142;2789200;-0,00415;-0,41468
13/01/20;127839996;128949997;127629997;128539993;122357521;3285700;0,00990;0,98994
14/01/20;128619995;130089996;128339996;128800003;122605034;3836000;0,00202;0,20228
15/01/20;128690002;129839996;128449997;129820007;123575981;3187200;0,00792;0,79193
16/01/20;130500000;130929993;129710007;130550003;124270859;2424500;0,00562;0,56231
17/01/20;131449997;131860001;130789993;131520004;125194206;3659400;0,00743;0,74301
21/01/20;131110001;131820007;130389999;130529999;124251816;3102700;-0,00753;-0,75274
22/01/20;130929993;132270004;130929993;131490005;125165649;2483800;0,00735;0,73547
23/01/20;131259995;131570007;130139999;131369995;125051407;3841000;-0,00091;-0,09127
24/01/20;136360001;138130005;133850006;135110001;128611542;8612500;0,02847;2,84693
27/01/20;131149994;131979996;128869995;130639999;124356537;6432400;-0,03308;-3,30842
28/01/20;132000000;133869995;131139999;132449997;126079491;3712700;0,01385;1,38549
29/01/20;132479996;133130005;131440002;131679993;125346489;2518400;-0,00581;-0,58135
30/01/20;130750000;133330002;130440002;133220001;126812447;2428500;0,01170;1,16951
31/01/20;132169998;132250000;129380005;129869995;123623550;3522600;-0,02515;-2,51464
03/02/20;130550003;132220001;130449997;131000000;124699226;2721900;0,00870;0,87010
04/02/20;132880005;133339996;131720001;131850006;125508331;2547500;0,00649;0,64886
05/02/20;133429993;133800003;131289993;133600006;127174141;4084500;0,01327;1,32727
06/02/20;134160004;134350006;133110001;133250000;126840973;1708600;-0,00262;-0,26198
07/02/20;132570007;132750000;131339996;131820007;125479774;2885600;-0,01073;-1,07317
10/02/20;131610001;132500000;131350006;132240005;125879570;1816500;0,00319;0,31861
11/02/20;133029999;133649994;132320007;132630005;126250809;1733300;0,00295;0,29492
12/02/20;133389999;133720001;132529999;133240005;126831497;1715400;0,00460;0,45993
13/02/20;133149994;134669998;133059998;134460007;127992798;3178300;0,00916;0,91564
14/02/20;134710007;136369995;134529999;135869995;129334961;2360300;0,01049;1,04863
18/02/20;135869995;136750000;134940002;135600006;129077972;2428200;-0,00199;-0,19871
19/02/20;136300003;137419998;136119995;136929993;130343964;1785000;0,00981;0,98082
20/02/20;136410004;138039993;134899994;136580002;130010818;2541700;-0,00256;-0,25560
21/02/20;136199997;136270004;133889999;134899994;128411621;3106100;-0,01230;-1,23005
24/02/20;129429993;130960007;127230003;128190002;122024384;6329300;-0,04974;-4,97405
25/02/20;127709999;127989998;119910004;120900002;115085007;7628100;-0,05687;-5,68687
26/02/20;121269997;122430000;118470001;118500000;112800423;5268000;-0,01985;-1,98511
27/02/20;115900002;117480003;112779999;112809998;107384117;8279800;-0,04802;-4,80169
28/02/20;109050003;111029999;107000000;109930000;104642639;11362100;-0,02553;-2,55296
02/03/20;111110001;113989998;108589996;113870003;108393127;9851600;0,03584;3,58410
03/03/20;115019997;116400002;107000000;108010002;102814987;9285000;-0,05146;-5,14622
04/03/20;110250000;115790001;109250000;115699997;110135094;7470900;0,07120;7,11971
05/03/20;111620003;112589996;109699997;110940002;105604050;12060600;-0,04114;-4,11408
06/03/20;105730003;108769997;103790001;108239998;103033897;9897700;-0,02434;-2,43375
09/03/20;100870003;101440002;96940002;98290001;93562477;12266300;-0,09193;-9,19253
10/03/20;101930000;103370003;97449997;103300003;98331520;9793200;0,05097;5,09716
11/03/20;100300003;100959999;93870003;95379997;90792450;8822900;-0,07667;-7,66699
12/03/20;87660004;89610001;81809998;83529999;79512413;12206600;-0,12424;-12,42399
13/03/20;90379997;100080002;84300003;99599998;94809486;12680400;0,19239;19,23860
16/03/20;82440002;93180000;80370003;85870003;81739861;15072400;-0,13785;-13,78514
17/03/20;87610001;88940002;83220001;86580002;82415718;10512200;0,00827;0,82683
18/03/20;80019997;81519997;67000000;73750000;70202812;14359300;-0,14819;-14,81867
19/03/20;72540001;77889999;69790001;77070000;73363129;12330400;0,04502;4,50169
20/03/20;78980003;82440002;72559998;74120003;70555016;12208600;-0,03828;-3,82769
23/03/20;72820000;75419998;68120003;68959999;65643181;8907600;-0,06962;-6,96169
24/03/20;73510002;84769997;71699997;84050003;80007408;10593900;0,21882;21,88226
25/03/20;87610001;96459999;85320000;90169998;85833054;11046500;0,07281;7,28137
26/03/20;92239998;99690002;90839996;93290001;88802979;9459400;0,03460;3,46013
27/03/20;87940002;91970001;85820000;88730003;84462303;6999800;-0,04888;-4,88798
30/03/20;88510002;91389999;85269997;90269997;85928230;5565000;0,01736;1,73560
31/03/20;89940002;90900002;85070000;85610001;81492363;6075900;-0,05162;-5,16229
01/04/20;80650002;81309998;77000000;77839996;74096077;8313400;-0,09076;-9,07605
02/04/20;77059998;79120003;75830002;76660004;73378189;8338100;-0,01516;-1,51592
03/04/20;76000000;76660004;72610001;73599998;70449196;10023100;-0,03992;-3,99166
06/04/20;80220001;84250000;78739998;83870003;80279526;11253000;0,13954;13,95381
07/04/20;91430000;93300003;87419998;87580002;83830711;8693200;0,04424;4,42351
08/04/20;89209999;93000000;88120003;92080002;88138062;6122800;0,05138;5,13816
09/04/20;94589996;97849998;93459999;94820000;90760757;6902500;0,02976;2,97567
13/04/20;93290001;93419998;87940002;90330002;86462967;5037700;-0,04735;-4,73529
14/04/20;91459999;92500000;85910004;88389999;84606033;8703200;-0,02148;-2,14768
15/04/20;83430000;85400002;80680000;83790001;80202950;10415600;-0,05204;-5,20421
16/04/20;83790001;83940002;80330002;81349998;77867416;7526600;-0,02912;-2,91205
17/04/20;85320000;87389999;84279999;87389999;83648842;8269000;0,07425;7,42471
20/04/20;84589996;85269997;82690002;84010002;80413536;6140400;-0,03868;-3,86772
21/04/20;80730003;82459999;79470001;81519997;78030128;7360300;-0,02964;-2,96394
