Date;Open;High;Low;Close;Adj Close;Volume;Rendimento;Rend %
02/01/20;67077499;68406998;67077499;68368500;68368500;28132000;0.0;0.0
03/01/20;67392998;68625000;67277199;68032997;68032997;23728000;-0,00491;-0,49073
06/01/20;67500000;69824997;67500000;69710503;69710503;34646000;0,02466;2,46572
07/01/20;69897003;70149498;69518997;69667000;69667000;30054000;-0,00062;-0,06241
08/01/20;69603996;70579002;69542000;70216003;70216003;30560000;0,00788;0,78804
09/01/20;71028503;71366501;70513496;70991501;70991501;30018000;0,01104;1,10445
10/01/20;71377998;71746452;70917503;71486504;71486504;36414000;0,00697;0,69727
13/01/20;71806503;72026001;71301003;71961502;71961502;33046000;0,00664;0,66446
14/01/20;71950500;72089996;71418503;71543999;71543999;31178000;-0,00580;-0,58018
15/01/20;71510498;72069748;71510498;71959999;71959999;25654000;0,00581;0,58146
16/01/20;72372002;72599503;72045998;72584999;72584999;23474000;0,00869;0,86854
17/01/20;73145500;74064751;72911003;74019501;74019501;47924000;0,01976;1,97631
21/01/20;73956001;74592499;73559998;74220001;74220001;40734000;0,00271;0,27087
22/01/20;74550003;75160698;74246498;74297501;74297501;32216000;0,00104;0,10442
23/01/20;74382004;74776001;74105003;74332497;74332497;27024000;0,00047;0,04710
24/01/20;74679497;74774750;73262497;73335503;73335503;35692000;-0,01341;-1,34126
27/01/20;71550003;71903503;71059998;71695000;71695000;35104000;-0,02237;-2,23698
28/01/20;72150002;72800003;71623497;72627998;72627998;31548000;0,01301;1,30134
29/01/20;72940002;73271500;72336998;72931503;72931503;21554000;0,00418;0,41789
30/01/20;71998001;72863998;71820000;72792000;72792000;26788000;-0,00191;-0,19128
31/01/20;73445000;73506500;71426498;71711502;71711502;48344000;-0,01484;-1,48436
03/02/20;73099998;74500000;72949501;74296997;74296997;60736000;0,03605;3,60541
04/02/20;72853500;73474998;71315002;72353500;72353500;78660000;-0,02616;-2,61585
05/02/20;73121002;73192001;71528000;72411499;72411499;39724000;0,00080;0,08016
06/02/20;72516502;74099998;72478500;73811501;73811501;33588000;0,01933;1,93340
07/02/20;73364998;74292000;73317497;73961502;73961502;23446000;0,00203;0,20322
10/02/20;73716003;75474998;73716003;75433998;75433998;28398000;0,01991;1,99090
11/02/20;75590500;76481499;75281898;75439499;75439499;26892000;0,00007;0,00729
12/02/20;75723999;76034752;75405502;75913498;75913498;23352000;0,00628;0,62832
13/02/20;75634499;76359001;75230003;75733002;75733002;18590000;-0,00238;-0,23777
14/02/20;75779999;76037003;75366997;76037003;76037003;23956000;0,00401;0,40141
18/02/20;75750000;76581497;75629501;75983498;75983498;22414000;-0,00070;-0,07037
19/02/20;76253502;76605301;76070000;76334503;76334503;18986000;0,00462;0,46195
