Date;Open;High;Low;Close;Adj Close;Volume;Rendimento;Rend %
02/01/20;326100006;329980011;324779999;329809998;329809998;4485800;0.0;0.0
03/01/20;326779999;329859985;325529999;325899994;325899994;3806900;-0,011855323;-1,185532283
06/01/20;323119995;336359985;321200012;335829987;335829987;5663100;0,030469448;3,046944824
07/01/20;336470001;336700012;330299988;330750000;330750000;4703200;-0,015126663;-1,512666288
08/01/20;331489990;342700012;331049988;339260010;339260010;7104500;0,025729433;2,572943311
09/01/20;342000000;343420013;334609985;335660004;335660004;4709300;-0,010611348;-1,061134792
10/01/20;337130005;338500000;327269989;329049988;329049988;4718300;-0,019692593;-1,969259346
13/01/20;331799988;340850006;331510010;338920013;338920013;6290000;0,029995518;2,999551849
14/01/20;344399994;345380005;335519989;338690002;338690002;7199400;-0,000678659;-0,067865865
15/01/20;338679993;343170013;336600006;339070007;339070007;5158000;0,001121985;0,11219847
16/01/20;343500000;343559998;335850006;338619995;338619995;5016000;-0,001327195;-0,132719495
17/01/20;341000000;341570007;337380005;339670013;339670013;6066500;0,003100874;0,310087418
21/01/20;340000000;341000000;332589996;338109985;338109985;14350300;-0,004592775;-0,459277516
22/01/20;332549988;336299988;323600006;326000000;326000000;21730000;-0,035816703;-3,581670325
23/01/20;326040009;349880005;325010010;349600006;349600006;18200300;0,072392656;7,239265644
24/01/20;348459991;359850006;345880005;353160004;353160004;17939700;0,01018306;1,018306047
27/01/20;345950012;351899994;341019989;342880005;342880005;7709500;-0,029108616;-2,910861616
28/01/20;345880005;352399994;342779999;348519989;348519989;6821600;0,016448857;1,64488565
29/01/20;349000000;349399994;338549988;343160004;343160004;7643500;-0,015379276;-1,537927571
30/01/20;341100006;348200012;339250000;347739990;347739990;5328100;0,013346503;1,334650293
31/01/20;347390015;347390015;340980011;345089996;345089996;5230000;-0,007620619;-0,762061907
03/02/20;347239990;359630005;346279999;358000000;358000000;6670600;0,037410543;3,741054261
04/02/20;361000000;369570007;356100006;369010010;369010010;7161500;0,030754218;3,075421788
05/02/20;375130005;375250000;362299988;369670013;369670013;6437000;0,001788577;0,17885775
06/02/20;369600006;371549988;362510010;366950012;366950012;3920400;-0,007357916;-0,735791626
07/02/20;365040009;371799988;363570007;366769989;366769989;4385200;-0,000490593;-0,049059271
10/02/20;365000000;374799988;362519989;371070007;371070007;5294100;0,011724018;1,172401813
11/02/20;373750000;378109985;369720001;373690002;373690002;4772900;0,007060649;0,70606488
12/02/20;377179993;380619995;375880005;380010010;380010010;4624800;0,016912435;1,691243535
13/02/20;376959991;385369995;376510010;381399994;381399994;4485400;0,003657756;0,365775628
14/02/20;381470001;385149994;379429993;380399994;380399994;3736300;-0,002621919;-0,262191929
18/02/20;379299988;389540009;379190002;387779999;387779999;5173900;0,019400644;1,940064436
19/02/20;388119995;392950012;384899994;386190002;386190002;4896400;-0,004100255;-0,410025531
20/02/20;386559998;389700012;376679993;386000000;386000000;4079400;-0,000491991;-0,049199099
21/02/20;385329987;387320007;377899994;380070007;380070007;3930100;-0,015362676;-1,536267617
24/02/20;364760010;372820007;361000000;368700012;368700012;6936400;-0,029915528;-2,991552817
25/02/20;372000000;375649994;357720001;360089996;360089996;6481200;-0,023352362;-2,335236159
26/02/20;366309998;382000000;365000000;379239990;379239990;8934100;0,053181133;5,318113309
27/02/20;371459991;391559998;370600006;371709991;371709991;10967700;-0,019855498;-1,985549836
