Date;Open;High;Low;Close;Adj Close;Volume;Rendimento;Rend %
02/01/20;42209999;42349998;41759998;42090000;37287895;5738100;0.0;0.0
03/01/20;41730000;41759998;41070000;41450001;36720913;4640100;-0,015205488;-1,520548824
06/01/20;41490002;42070000;41419998;42060001;37261311;5700000;0,014716526;1,471652558
07/01/20;41880001;42180000;41570000;42130001;37323330;5104000;0,001664289;0,166428907
08/01/20;42200001;42369999;41430000;41869999;37092987;8139300;-0,006171422;-0,617142164
09/01/20;42230000;42240002;40570000;40810001;36153931;7749200;-0,025316409;-2,531640853
10/01/20;40900002;41000000;40130001;40310001;35710979;4688100;-0,012251899;-1,225189874
13/01/20;40400002;41049999;40060001;40799999;36145065;5809600;0,012155743;1,215574269
14/01/20;40599998;40830002;40240002;40330002;35728699;5479300;-0,011519535;-1,15195346
15/01/20;40220001;40430000;39580002;39689999;35161701;6239500;-0,015869154;-1,586915369
16/01/20;39880001;40110001;39450001;40040001;35471783;6918500;0,008818393;0,881839276
17/01/20;40009998;40110001;39320000;39490002;34984535;6566500;-0,013736238;-1,373623842
21/01/20;39500000;39619999;38660000;38730000;34311241;9534200;-0,019245428;-1,924542825
22/01/20;39000000;39060001;38320000;38450001;34063187;4931000;-0,007229512;-0,722951201
23/01/20;38200001;38270000;36959999;36990002;32769756;9293600;-0,037971364;-3,797136442
24/01/20;37000000;37070000;35400002;35790001;31706665;10789700;-0,032441226;-3,24412256
27/01/20;35369999;35630001;34790001;35130001;31121967;7931100;-0,018440905;-1,844090477
28/01/20;35400002;35759998;35160000;35360001;31325722;6365300;0,006547111;0,654711055
29/01/20;35250000;35610001;34610001;34689999;30732170;6885500;-0,01894802;-1,894801983
30/01/20;34290001;34560001;33490002;34189999;30289215;12968200;-0,014413376;-1,441337603
31/01/20;34160000;34689999;33580002;34130001;30236061;8386800;-0,001754841;-0,175484065
03/02/20;33730000;33869999;32599998;33080002;29305857;11674300;-0,030764693;-3,076469292
04/02/20;33500000;33849998;33040001;33570000;29739950;8788700;0,014812514;1,481251422
05/02/20;33860001;34680000;33810001;34340000;30422098;7413600;0,022937146;2,293714626
06/02/20;34639999;34730000;34220001;34599998;30652437;6101800;0,007571287;0,757128713
07/02/20;35150002;35259998;34400002;34709999;30749884;6558200;0,00317922;0,317921984
