Date;Open;High;Low;Close;Adj Close;Volume;Rendimento;Rend %
02/01/20;109470001;111209999;109275002;110750000;110750000;7418800;0.0;0.0
03/01/20;109489998;110419998;108760002;108760002;108760002;7098300;-0,017968379;-1,796837923
06/01/20;107570000;110220001;107440002;110169998;110169998;6764500;0,012964288;1,29642881
07/01/20;111500000;111559998;109529999;109669998;109669998;6898700;-0,004538441;-0,453844067
08/01/20;110400002;112639999;109820000;111820000;111820000;8293600;0,019604286;1,960428594
09/01/20;112989998;113559998;111589996;112570000;112570000;5944700;0,006707208;0,670720801
10/01/20;113639999;113709999;112269997;112930000;112930000;6965100;0,00319801;0,319801013
13/01/20;113980003;115879997;113860001;115279999;115279999;9652500;0,020809342;2,080934207
14/01/20;115514999;115589996;114120003;114639999;114639999;7182000;-0,0055517;-0,555170026
15/01/20;115139999;115949997;114610001;114849998;114849998;5955200;0,001831813;0,183181265
16/01/20;115919998;116000000;114849998;115400002;115400002;4770900;0,00478889;0,478888994
17/01/20;116449997;116699997;115470001;116040001;116040001;9730400;0,005545918;0,554591845
21/01/20;115309998;116389999;115110001;116150002;116150002;8746200;0,000947958;0,094795759
22/01/20;116730003;117449997;115470001;115500000;115500000;5305300;-0,005596229;-0,559622892
23/01/20;117400002;117940002;115800003;117889999;117889999;8533900;0,020692632;2,069263203
24/01/20;118449997;119599998;116510002;116980003;116980003;7124000;-0,007719026;-0,771902628
27/01/20;113629997;115980003;112309998;115239998;115239998;7002300;-0,01487438;-1,487437985
28/01/20;115830002;117209999;114714996;116519997;116519997;6433000;0,011107246;1,110724594
29/01/20;117470001;117529999;115160004;116660004;116660004;9236800;0,001201571;0,120157058
30/01/20;112790001;117199997;112419998;117120003;117120003;13653300;0,003943074;0,394307375
31/01/20;116750000;117320000;113150002;113889999;113889999;9467200;-0,027578585;-2,757858536
03/02/20;114300003;117239998;114050003;116510002;116510002;8234700;0,02300468;2,300468016
04/02/20;118040001;120339996;117300003;120080002;120080002;7396800;0,030641146;3,064114616
05/02/20;121199997;122190002;118890999;119720001;119720001;7595300;-0,00299801;-0,299800961
06/02/20;120089996;120599998;119470001;119889999;119889999;4020300;0,001419963;0,141996324
07/02/20;119599998;119669998;118410004;118879997;118879997;4166300;-0,008424406;-0,842440578
10/02/20;118559998;120150002;118500000;120059998;120059998;4868000;0,009925984;0,992598444
11/02/20;120760002;121000000;118400002;118839996;118839996;4677400;-0,010161603;-1,01616027
12/02/20;118849998;119910004;117870003;118559998;118559998;6482300;-0,002356092;-0,23560923
13/02/20;118040001;121099998;117800003;120510002;120510002;6066300;0,016447402;1,644740244
14/02/20;120889999;123000000;120800003;122989998;122989998;5769900;0,020579172;2,057917151
18/02/20;122580002;122989998;121680000;122269997;122269997;5085700;-0,005854143;-0,585414271
19/02/20;122629997;124449997;122300003;123910004;123910004;4878600;0,013412996;1,341299616
20/02/20;123860001;124309998;120400002;122430000;122430000;7212900;-0,011944185;-1,194418491
21/02/20;121720001;121849998;118529999;119489998;119489998;5894500;-0,024013738;-2,401373846
24/02/20;114290001;116790001;113519997;116440002;116440002;10139300;-0,025525115;-2,55251155
25/02/20;115669998;116415001;109330002;109660004;109660004;13636100;-0,058227395;-5,822739508
26/02/20;109809998;112629997;108599998;109110001;109110001;10301800;-0,00501553;-0,501552964
27/02/20;106300003;112050003;106300003;107839996;107839996;15461900;-0,011639675;-1,163967545
28/02/20;104260002;108730003;103720001;107989998;107989998;17213100;0,001390968;0,139096815
02/03/20;107459999;113050003;106529999;112860001;112860001;13367000;0,045096797;4,509679683
03/03/20;112820000;114559998;108260002;109760002;109760002;11912300;-0,02746765;-2,746764994
04/03/20;112040001;115389999;110620003;115300003;115300003;8245200;0,050473769;5,047376912
