Date;Open;High;Low;Close;Adj Close;Volume;Rendimento;Rend %
02/01/20;32820000;32840000;32009998;32220001;32220001;3249300;0.0;0.0
03/01/20;31840000;32230000;31770000;32029999;32029999;3599600;-0,00589702;-0,58970203
06/01/20;31830000;32080002;31570000;31959999;31959999;2416900;-0,002185451;-0,218545121
07/01/20;31830000;32540001;31760000;32070000;32070000;3102000;0,003441834;0,344183365
08/01/20;32009998;32389999;31959999;32110001;32110001;3674100;0,001247303;0,124730278
09/01/20;32200001;32570000;32020000;32250000;32250000;6465100;0,004359981;0,435998118
10/01/20;32290001;32290001;31740000;31850000;31850000;4092000;-0,012403101;-1,240310078
13/01/20;31750000;31940001;31459999;31790001;31790001;3618500;-0,001883799;-0,188379906
14/01/20;31780001;31990000;31650000;31900000;31900000;3799500;0,003460176;0,346017605
15/01/20;31730000;32240002;31670000;32240002;32240002;3134500;0,01065837;1,065836991
16/01/20;32320000;32869999;32250000;32770000;32770000;4272700;0,016439143;1,64391429
17/01/20;32790001;32889999;32360001;32430000;32430000;3296400;-0,010375343;-1,03753433
21/01/20;32320000;32389999;31850000;31969999;31969999;3268200;-0,014184428;-1,4184428
22/01/20;32169998;32459999;31930000;32029999;32029999;2400300;0,00187676;0,187675952
23/01/20;31930000;32029999;30400000;30450001;30450001;7597700;-0,049328693;-4,932869339
24/01/20;30420000;30420000;29900000;30320000;30320000;6040900;-0,004269327;-0,426932662
27/01/20;30000000;30400000;29889999;30200001;30200001;3653300;-0,003957751;-0,395775066
28/01/20;30350000;30760000;30240000;30520000;30520000;3693000;0,010595993;1,059599303
29/01/20;30420000;30559999;29590000;29700001;29700001;5557600;-0,026867595;-2,686759502
30/01/20;29549999;29959999;29500000;29920000;29920000;3519300;0,007407373;0,740737349
31/01/20;29809999;30080000;29070000;29260000;29260000;3863200;-0,022058824;-2,205882353
03/02/20;29410000;29940001;29110001;29150000;29150000;3865000;-0,003759398;-0,37593985
04/02/20;29440001;29799999;29350000;29740000;29740000;4309700;0,020240137;2,024013722
05/02/20;30110001;30840000;30070000;30629999;30629999;3434600;0,029925992;2,992599193
06/02/20;30809999;30879999;29910000;30049999;30049999;3190800;-0,018935685;-1,893568459
07/02/20;29900000;30070000;29600000;29790001;29790001;2607700;-0,00865218;-0,865217999
10/02/20;29660000;29860001;29410000;29830000;29830000;4993900;0,001342699;0,134269885
11/02/20;30000000;30430000;29719999;30209999;30209999;4671200;0,01273882;1,273881998
12/02/20;30580000;30600000;29850000;30350000;30350000;3582700;0,00463426;0,463426033
13/02/20;30240000;30510000;30020000;30330000;30330000;2513800;-0,000658979;-0,065897858
14/02/20;30420000;30480000;30010000;30209999;30209999;3877300;-0,003956512;-0,39565117
